"No.","Time","Source","Destination","Protocol","Length","Stream index","HID Data","Info"
"3155","2026-06-12 20:24:35.837962","3.12.1","host","USB","72","","00001c0000000000","URB_INTERRUPT in"
"3187","2026-06-12 20:24:35.917960","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"3289","2026-06-12 20:24:36.181959","3.12.1","host","USB","72","","0000130000000000","URB_INTERRUPT in"
"3320","2026-06-12 20:24:36.261954","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"3409","2026-06-12 20:24:36.493951","3.12.1","host","USB","72","","0000080000000000","URB_INTERRUPT in"
"3445","2026-06-12 20:24:36.581983","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"3563","2026-06-12 20:24:36.893945","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"3661","2026-06-12 20:24:37.149941","3.12.1","host","USB","72","","2000300000000000","URB_INTERRUPT in"
"3733","2026-06-12 20:24:37.333939","3.12.1","host","USB","72","","2000000000000000","URB_INTERRUPT in"
"3749","2026-06-12 20:24:37.373940","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"3867","2026-06-12 20:24:37.685934","3.12.1","host","USB","72","","0000280000000000","URB_INTERRUPT in"
"3903","2026-06-12 20:24:37.773933","3.12.1","host","USB","72","","0000000000000000","URB_INTERRUPT in"
"3989","2026-06-12 20:24:37.997930","3.12.1","host","USB","72","","0100000000000000","URB_INTERRUPT in"
"4081","2026-06-12 20:24:38.237926","3.12.1","host","USB","72","","0100060000000000","URB_INTERRUPT in"
